;Abgeordnete;Partei;Vorname;Nachname;E-Mail;Wahlkreis;PLZ
143;Susanne Mittag;SPD;Susanne;Mittag;susanne.mittag@bundestag.de;Delmenhorst – Wesermarsch – Oldenburg-Land;['26197', '26203', '26209', '26349', '26919', '26931', '26935', '26936', '26937', '26939', '26954', '26969', '27243', '27749', '27751', '27753', '27755', '27777', '27793', '27798', '27801', '27804', '27809']
144;Christian Dürr;FDP;Christian;Dürr;christian.dürr@bundestag.de;Delmenhorst – Wesermarsch – Oldenburg-Land;['26197', '26203', '26209', '26349', '26919', '26931', '26935', '26936', '26937', '26939', '26954', '26969', '27243', '27749', '27751', '27753', '27755', '27777', '27793', '27798', '27801', '27804', '27809']
145;Christina-Johanne Schröder;Grüne;Christina-Johanne;Schröder;christina-johanne.schröder@bundestag.de;Delmenhorst – Wesermarsch – Oldenburg-Land;['26197', '26203', '26209', '26349', '26919', '26931', '26935', '26936', '26937', '26939', '26954', '26969', '27243', '27749', '27751', '27753', '27755', '27777', '27793', '27798', '27801', '27804', '27809']
146;Sepp Müller;CDU/CSU (CDU);Sepp;Müller;sepp.müller@bundestag.de;Dessau – Wittenberg;['06773', '06773', '06773', '06773', '06773', '06773', '06774', '06774', '06785', '06786', '06791', '06842', '06844', '06846', '06847', '06849', '06862', '06869', '06886', '06888', '06895', '06896', '06901', '06905', '06909', '06917', '06918', '06922', '06925', '06926', '06928']
147;Steffi Lemke;Grüne;Steffi;Lemke;steffi.lemke@bundestag.de;Dessau – Wittenberg;['06773', '06773', '06773', '06773', '06773', '06773', '06774', '06774', '06785', '06786', '06791', '06842', '06844', '06846', '06847', '06849', '06862', '06869', '06886', '06888', '06895', '06896', '06901', '06905', '06909', '06917', '06918', '06922', '06925', '06926', '06928']
148;Axel Knoerig;CDU/CSU (CDU);Axel;Knoerig;axel.knoerig@bundestag.de;Diepholz – Nienburg I;['27211', '27232', '27239', '27245', '27246', '27248', '27249', '27251', '27252', '27254', '27257', '27259', '27305', '27318', '27324', '27327', '27330', '27333', '28816', '28844', '28857', '31600', '31603', '31604', '31606', '49356', '49406', '49419', '49448', '49453', '49457', '49459']
149;Peggy Schierenbeck;SPD;Peggy;Schierenbeck;peggy.schierenbeck@bundestag.de;Diepholz – Nienburg I;['27211', '27232', '27239', '27245', '27246', '27248', '27249', '27251', '27252', '27254', '27257', '27259', '27305', '27318', '27324', '27327', '27330', '27333', '28816', '28844', '28857', '31600', '31603', '31604', '31606', '49356', '49406', '49419', '49448', '49453', '49457', '49459']
150;Christoph Schmid;SPD;Christoph;Schmid;christoph.schmid@bundestag.de;Donau-Ries;['86447', '86502', '86554', '86556', '86570', '86574', '86576', '86609', '86637', '86641', '86647', '86650', '86653', '86655', '86657', '86660', '86663', '86674', '86675', '86681', '86682', '86684', '86685', '86687', '86688', '86690', '86692', '86694', '86698', '86700', '86703', '86704', '86709', '86720', '86732', '86733', '86735', '86736', '86738', '86739', '86741', '86742', '86744', '86745', '86747', '86748', '86750', '86751', '86753', '86754', '86756', '86757', '86759', '89344', '89353', '89407', '89415', '89420', '89423', '89426', '89428', '89429', '89431', '89434', '89435', '89437', '89438', '89440', '89441', '89443', '89446', '89447']
151;Ulrich Lange;CDU/CSU (CSU);Ulrich;Lange;ulrich.lange@bundestag.de;Donau-Ries;['86447', '86502', '86554', '86556', '86570', '86574', '86576', '86609', '86637', '86641', '86647', '86650', '86653', '86655', '86657', '86660', '86663', '86674', '86675', '86681', '86682', '86684', '86685', '86687', '86688', '86690', '86692', '86694', '86698', '86700', '86703', '86704', '86709', '86720', '86732', '86733', '86735', '86736', '86738', '86739', '86741', '86742', '86744', '86745', '86747', '86748', '86750', '86751', '86753', '86754', '86756', '86757', '86759', '89344', '89353', '89407', '89415', '89420', '89423', '89426', '89428', '89429', '89431', '89434', '89435', '89437', '89438', '89440', '89441', '89443', '89446', '89447']
152;Jens Peick;SPD;Jens;Peick;jens.peick@bundestag.de;Dortmund I;['44135', '44137', '44139', '44141', '44143', '44147', '44147', '44149', '44225', '44227', '44229', '44265', '44339', '44357', '44359', '44369', '44379', '44388']
153;Markus Kurth;Grüne;Markus;Kurth;markus.kurth@bundestag.de;Dortmund I;['44135', '44137', '44139', '44141', '44143', '44147', '44147', '44149', '44225', '44227', '44229', '44265', '44339', '44357', '44359', '44369', '44379', '44388']
154;Matthias Helferich;fraktionslos (AfD);Matthias;Helferich;matthias.helferich@bundestag.de;Dortmund II;['44141', '44143', '44143', '44143', '44145', '44147', '44147', '44263', '44265', '44267', '44269', '44287', '44289', '44309', '44319', '44328', '44329', '44339']
155;Sabine Poschmann;SPD;Sabine;Poschmann;sabine.poschmann@bundestag.de;Dortmund II;['44141', '44143', '44143', '44143', '44145', '44147', '44147', '44263', '44265', '44267', '44269', '44287', '44289', '44309', '44319', '44328', '44329', '44339']
156;Markus Reichel;CDU/CSU (CDU);Markus;Reichel;markus.reichel@bundestag.de;Dresden I;['01067', '01069', '01157', '01159', '01187', '01189', '01217', '01219', '01237', '01239', '01257', '01259', '01277', '01279', '01307', '01309']
157;Kassem Taher Saleh;Grüne;Kassem;Taher;kassem.taher@bundestag.de;Dresden I;['01067', '01069', '01157', '01159', '01187', '01189', '01217', '01219', '01237', '01239', '01257', '01259', '01277', '01279', '01307', '01309']
158;Rasha Nasr;SPD;Rasha;Nasr;rasha.nasr@bundestag.de;Dresden I;['01067', '01069', '01157', '01159', '01187', '01189', '01217', '01219', '01237', '01239', '01257', '01259', '01277', '01279', '01307', '01309']
159;Torsten Herbst;FDP;Torsten;Herbst;torsten.herbst@bundestag.de;Dresden I;['01067', '01069', '01157', '01159', '01187', '01189', '01217', '01219', '01237', '01239', '01257', '01259', '01277', '01279', '01307', '01309']
160;Lars Rohwer;CDU/CSU (CDU);Lars;Rohwer;lars.rohwer@bundestag.de;Dresden II – Bautzen II;['01097', '01099', '01108', '01109', '01127', '01129', '01139', '01156', '01157', '01159', '01169', '01187', '01189', '01324', '01326', '01328', '01445', '01454', '01465']
161;Merle Spellerberg;Grüne;Merle;Spellerberg;merle.spellerberg@bundestag.de;Dresden II – Bautzen II;['01097', '01099', '01108', '01109', '01127', '01129', '01139', '01156', '01157', '01159', '01169', '01187', '01189', '01324', '01326', '01328', '01445', '01454', '01465']
162;Bärbel Bas;SPD;Bärbel;Bas;bärbel.bas@bundestag.de;Duisburg I;['47051', '47053', '47055', '47057', '47059', '47226', '47228', '47229', '47239', '47249', '47259', '47269', '47279']
163;Lamya Kaddor;Grüne;Lamya;Kaddor;lamya.kaddor@bundestag.de;Duisburg I;['47051', '47053', '47055', '47057', '47059', '47226', '47228', '47229', '47239', '47249', '47259', '47269', '47279']
164;Felix Banaszak;Grüne;Felix;Banaszak;felix.banaszak@bundestag.de;Duisburg II;['47051', '47058', '47119', '47137', '47138', '47139', '47166', '47167', '47169', '47178', '47179', '47198', '47199']
165;Christian Leye;Linke;Christian;Leye;christian.leye@bundestag.de;Duisburg II;['47051', '47058', '47119', '47137', '47138', '47139', '47166', '47167', '47169', '47178', '47179', '47198', '47199']
166;Mahmut Özdemir;SPD;Mahmut;Özdemir;mahmut.özdemir@bundestag.de;Duisburg II;['47051', '47058', '47119', '47137', '47138', '47139', '47166', '47167', '47169', '47178', '47179', '47198', '47199']
167;Thomas Rachel;CDU/CSU (CDU);Thomas;Rachel;thomas.rachel@bundestag.de;Düren;['52349', '52351', '52353', '52355', '52372', '52379', '52382', '52385', '52388', '52391', '52393', '52396', '52399', '52428', '52441', '52445', '52457', '52459']
168;Dietmar Nietan;SPD;Dietmar;Nietan;dietmar.nietan@bundestag.de;Düren;['52349', '52351', '52353', '52355', '52372', '52379', '52382', '52385', '52388', '52391', '52393', '52396', '52399', '52428', '52441', '52445', '52457', '52459']
169;Marie-Agnes Strack-Zimmermann;FDP;Marie-Agnes;Strack-Zimmermann;marie-agnes.strack-zimmermann@bundestag.de;Düsseldorf I;['40210', '40211', '40212', '40213', '40233', '40235', '40237', '40239', '40468', '40470', '40472', '40474', '40476', '40477', '40479', '40489', '40545', '40547', '40549', '40625', '40627', '40629']
170;Zanda Martens;SPD;Zanda;Martens;zanda.martens@bundestag.de;Düsseldorf I;['40210', '40211', '40212', '40213', '40233', '40235', '40237', '40239', '40468', '40470', '40472', '40474', '40476', '40477', '40479', '40489', '40545', '40547', '40549', '40625', '40627', '40629']
171;Thomas Jarzombek;CDU/CSU (CDU);Thomas;Jarzombek;thomas.jarzombek@bundestag.de;Düsseldorf I;['40210', '40211', '40212', '40213', '40233', '40235', '40237', '40239', '40468', '40470', '40472', '40474', '40476', '40477', '40479', '40489', '40545', '40547', '40549', '40625', '40627', '40629']
172;Andreas Rimkus;SPD;Andreas;Rimkus;andreas.rimkus@bundestag.de;Düsseldorf II;['40215', '40217', '40219', '40221', '40223', '40225', '40227', '40229', '40231', '40589', '40591', '40593', '40595', '40597', '40599', '40627', '40627', '40627', '40721']
173;Sara Nanni;Grüne;Sara;Nanni;sara.nanni@bundestag.de;Düsseldorf II;['40215', '40217', '40219', '40221', '40223', '40225', '40227', '40229', '40231', '40589', '40591', '40593', '40595', '40597', '40599', '40627', '40627', '40627', '40721']
174;Jürgen Pohl;AfD;Jürgen;Pohl;jürgen.pohl@bundestag.de;Eichsfeld – Nordhausen – Kyffhäuserkreis;['37308', '37318', '37327', '37339', '37345', '37351', '37355', '37359', '99734', '99735', '99752', '99755', '99759', '99762', '99765', '99768', '99974', '99976']
175;Manfred Grund;CDU/CSU (CDU);Manfred;Grund;manfred.grund@bundestag.de;Eichsfeld – Nordhausen – Kyffhäuserkreis;['37308', '37318', '37327', '37339', '37345', '37351', '37355', '37359', '99734', '99735', '99752', '99755', '99759', '99762', '99765', '99768', '99974', '99976']
176;Christian Hirte;CDU/CSU (CDU);Christian;Hirte;christian.hirte@bundestag.de;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;['36404', '36414', '36419', '36433', '36448', '36452', '36456', '36457', '36460', '36466', '36469', '99817', '99819', '99826', '99830', '99831', '99834', '99837', '99842', '99846', '99848', '99947', '99955', '99958', '99986', '99988', '99991', '99994', '99996', '99998']
177;Martina Renner;Linke;Martina;Renner;martina.renner@bundestag.de;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;['36404', '36414', '36419', '36433', '36448', '36452', '36456', '36457', '36460', '36466', '36469', '99817', '99819', '99826', '99830', '99831', '99834', '99837', '99842', '99846', '99848', '99947', '99955', '99958', '99986', '99988', '99991', '99994', '99996', '99998']
178;Tina Rudolph;SPD;Tina;Rudolph;tina.rudolph@bundestag.de;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;['36404', '36414', '36419', '36433', '36448', '36452', '36456', '36457', '36460', '36466', '36469', '99817', '99819', '99826', '99830', '99831', '99834', '99837', '99842', '99846', '99848', '99947', '99955', '99958', '99986', '99988', '99991', '99994', '99996', '99998']
179;Klaus Stöber;AfD;Klaus;Stöber;klaus.stöber@bundestag.de;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;['36404', '36414', '36419', '36433', '36448', '36452', '36456', '36457', '36460', '36466', '36469', '99817', '99819', '99826', '99830', '99831', '99834', '99837', '99842', '99846', '99848', '99947', '99955', '99958', '99986', '99988', '99991', '99994', '99996', '99998']
180;Knut Abraham;CDU/CSU (CDU);Knut;Abraham;knut.abraham@bundestag.de;Elbe-Elster – Oberspreewald-Lausitz II;['01945', '01968', '01979', '01983', '01987', '01990', '01993', '01994', '01996', '01998', '03103', '03205', '03226', '03229', '03238', '03246', '03249', '03253', '04895', '04910', '04916', '04924', '04928', '04931', '04932', '04934', '04936', '04938']
181;Hannes Walter;SPD;Hannes;Walter;hannes.walter@bundestag.de;Elbe-Elster – Oberspreewald-Lausitz II;['01945', '01968', '01979', '01983', '01987', '01990', '01993', '01994', '01996', '01998', '03103', '03205', '03226', '03229', '03238', '03246', '03249', '03253', '04895', '04910', '04916', '04924', '04928', '04931', '04932', '04934', '04936', '04938']
182;Thomas Seitz;AfD;Thomas;Seitz;thomas.seitz@bundestag.de;Emmendingen – Lahr;['77716', '77790', '77796', '77933', '77948', '77955', '77960', '77963', '77966', '77971', '77972', '77974', '77975', '77977', '77978', '79183', '79211', '79215', '79261', '79263', '79276', '79279', '79297', '79312', '79331', '79336', '79341', '79346', '79348', '79350', '79353', '79359', '79361', '79362', '79364', '79365', '79367', '79369']
183;Johannes Fechner;SPD;Johannes;Fechner;johannes.fechner@bundestag.de;Emmendingen – Lahr;['77716', '77790', '77796', '77933', '77948', '77955', '77960', '77963', '77966', '77971', '77972', '77974', '77975', '77977', '77978', '79183', '79211', '79215', '79261', '79263', '79276', '79279', '79297', '79312', '79331', '79336', '79341', '79346', '79348', '79350', '79353', '79359', '79361', '79362', '79364', '79365', '79367', '79369']
184;Yannick Bury;CDU/CSU (CDU);Yannick;Bury;yannick.bury@bundestag.de;Emmendingen – Lahr;['77716', '77790', '77796', '77933', '77948', '77955', '77960', '77963', '77966', '77971', '77972', '77974', '77975', '77977', '77978', '79183', '79211', '79215', '79261', '79263', '79276', '79279', '79297', '79312', '79331', '79336', '79341', '79346', '79348', '79350', '79353', '79359', '79361', '79362', '79364', '79365', '79367', '79369']
185;Axel Echeverria;SPD;Axel;Echeverria;axel.echeverria@bundestag.de;Ennepe-Ruhr-Kreis II;['45525', '45527', '45529', '45549', '58300', '58313', '58452', '58453', '58454', '58455', '58456']
186;Andreas Lenz;CDU/CSU (CSU);Andreas;Lenz;andreas.lenz@bundestag.de;Erding – Ebersberg;['83550', '83553', '84405', '84416', '84424', '84427', '84432', '84434', '84435', '84439', '85435', '85445', '85447', '85452', '85456', '85457', '85459', '85461', '85462', '85464', '85465', '85467', '85469', '85560', '85567', '85570', '85586', '85591', '85598', '85599', '85604', '85614', '85617', '85625', '85643', '85646', '85652', '85656', '85658', '85659', '85661', '85664', '85665', '85667', '85669']
187;Antje Tillmann;CDU/CSU (CDU);Antje;Tillmann;antje.tillmann@bundestag.de;Erfurt – Weimar – Weimarer Land II;['07545', '07546', '07548', '07549', '07551', '07552', '07607', '07613', '07616', '07619', '07629', '07639', '07646', '07743', '07745', '07747', '07749', '07751', '07768', '07774', '07778']
188;Carsten Schneider;SPD;Carsten;Schneider;carsten.schneider@bundestag.de;Erfurt – Weimar – Weimarer Land II;['07545', '07546', '07548', '07549', '07551', '07552', '07607', '07613', '07616', '07619', '07629', '07639', '07646', '07743', '07745', '07747', '07749', '07751', '07768', '07774', '07778']
189;Katrin Göring-Eckardt;Grüne;Katrin;Göring-Eckardt;katrin.göring-eckardt@bundestag.de;Erfurt – Weimar – Weimarer Land II;['07545', '07546', '07548', '07549', '07551', '07552', '07607', '07613', '07616', '07619', '07629', '07639', '07646', '07743', '07745', '07747', '07749', '07751', '07768', '07774', '07778']
190;Susanne Hennig-Wellsow;Linke;Susanne;Hennig-Wellsow;susanne.hennig-wellsow@bundestag.de;Erfurt – Weimar – Weimarer Land II;['07545', '07546', '07548', '07549', '07551', '07552', '07607', '07613', '07616', '07619', '07629', '07639', '07646', '07743', '07745', '07747', '07749', '07751', '07768', '07774', '07778']
191;Stefan Müller;CDU/CSU (CSU);Stefan;Müller;stefan.müller@bundestag.de;Erlangen;['90542', '90562', '91052', '91054', '91056', '91058', '91074', '91080', '91083', '91085', '91086', '91088', '91091', '91093', '91096', '91097', '91315', '91325', '91334', '91341', '91350', '91475', '91487', '96172', '96193']
192;Martina Stamm-Fibich;SPD;Martina;Stamm-Fibich;martina.stamm-fibich@bundestag.de;Erlangen;['90542', '90562', '91052', '91054', '91056', '91058', '91074', '91080', '91083', '91085', '91086', '91088', '91091', '91093', '91096', '91097', '91315', '91325', '91334', '91341', '91350', '91475', '91487', '96172', '96193']
193;Clara Bünger;Linke;Clara;Bünger;clara.bünger@bundestag.de;Erzgebirgskreis I;['08280', '08289', '08294', '08301', '08304', '08309', '08312', '08315', '08321', '08326', '08328', '08340', '08344', '08349', '08352', '08359', '09405', '09419', '09423', '09427', '09429', '09430', '09432', '09435', '09437', '09439', '09456', '09465', '09468', '09471', '09474', '09477', '09481', '09484', '09487', '09488', '09496', '09509', '09514', '09517', '09518', '09526', '09548', '09579']
194;Thomas Dietz;AfD;Thomas;Dietz;thomas.dietz@bundestag.de;Erzgebirgskreis I;['08280', '08289', '08294', '08301', '08304', '08309', '08312', '08315', '08321', '08326', '08328', '08340', '08344', '08349', '08352', '08359', '09405', '09419', '09423', '09427', '09429', '09430', '09432', '09435', '09437', '09439', '09456', '09465', '09468', '09471', '09474', '09477', '09481', '09484', '09487', '09488', '09496', '09509', '09514', '09517', '09518', '09526', '09548', '09579']
195;Ulrike Harzer;FDP;Ulrike;Harzer;ulrike.harzer@bundestag.de;Erzgebirgskreis I;['08280', '08289', '08294', '08301', '08304', '08309', '08312', '08315', '08321', '08326', '08328', '08340', '08344', '08349', '08352', '08359', '09405', '09419', '09423', '09427', '09429', '09430', '09432', '09435', '09437', '09439', '09456', '09465', '09468', '09471', '09474', '09477', '09481', '09484', '09487', '09488', '09496', '09509', '09514', '09517', '09518', '09526', '09548', '09579']
196;Dirk Heidenblut;SPD;Dirk;Heidenblut;dirk.heidenblut@bundestag.de;Essen II;['45127', '45128', '45130', '45136', '45138', '45139', '45143', '45143', '45276', '45279', '45307', '45309', '45326', '45329', '45356']
197;Kai Gehring;Grüne;Kai;Gehring;kai.gehring@bundestag.de;Essen III;['45131', '45133', '45134', '45136', '45136', '45143', '45144', '45145', '45147', '45149', '45219', '45239', '45257', '45259', '45277', '45289']
198;Matthias Hauer;CDU/CSU (CDU);Matthias;Hauer;matthias.hauer@bundestag.de;Essen III;['45131', '45133', '45134', '45136', '45136', '45143', '45144', '45145', '45147', '45149', '45219', '45239', '45257', '45259', '45277', '45289']
199;Stefan Keuter;AfD;Stefan;Keuter;stefan.keuter@bundestag.de;Essen III;['45131', '45133', '45134', '45136', '45136', '45143', '45144', '45145', '45147', '45149', '45219', '45239', '45257', '45259', '45277', '45289']
200;Markus Grübel;CDU/CSU (CDU);Markus;Grübel;markus.grübel@bundestag.de;Esslingen;['73207', '73240', '73249', '73257', '73262', '73269', '73666', '73669', '73728', '73730', '73732', '73733', '73734', '73760', '73765', '73770', '73773', '73776', '73779']
201;Sebastian Schäfer;Grüne;Sebastian;Schäfer;sebastian.schäfer@bundestag.de;Esslingen;['73207', '73240', '73249', '73257', '73262', '73269', '73666', '73669', '73728', '73730', '73732', '73733', '73734', '73760', '73765', '73770', '73773', '73776', '73779']
202;Rüdiger Lucassen;AfD;Rüdiger;Lucassen;rüdiger.lucassen@bundestag.de;Euskirchen – Rhein-Erft-Kreis II;['50321', '50374', '50389', '53879', '53881', '53894', '53902', '53909', '53919', '53925', '53937', '53940', '53945', '53947', '53949']
203;Markus Herbrand;FDP;Markus;Herbrand;markus.herbrand@bundestag.de;Euskirchen – Rhein-Erft-Kreis II;['50321', '50374', '50389', '53879', '53881', '53894', '53902', '53909', '53919', '53925', '53937', '53940', '53945', '53947', '53949']
204;Dagmar Andres;SPD;Dagmar;Andres;dagmar.andres@bundestag.de;Euskirchen – Rhein-Erft-Kreis II;['50321', '50374', '50389', '53879', '53881', '53894', '53902', '53909', '53919', '53925', '53937', '53940', '53945', '53947', '53949']
205;Detlef Seif;CDU/CSU (CDU);Detlef;Seif;detlef.seif@bundestag.de;Euskirchen – Rhein-Erft-Kreis II;['50321', '50374', '50389', '53879', '53881', '53894', '53902', '53909', '53919', '53925', '53937', '53940', '53945', '53947', '53949']
206;Petra Nicolaisen;CDU/CSU (CDU);Petra;Nicolaisen;petra.nicolaisen@bundestag.de;Flensburg – Schleswig;['24376', '24392', '24395', '24399', '24401', '24402', '24404', '24405', '24407', '24409', '24799', '24803', '24817', '24837', '24848', '24850', '24852', '24855', '24857', '24860', '24861', '24863', '24864', '24866', '24867', '24869', '24870', '24872', '24873', '24875', '24876', '24878', '24879', '24881', '24882', '24884', '24885', '24887', '24888', '24890', '24891', '24893', '24894', '24896', '24897', '24899', '24937', '24939', '24941', '24943', '24944', '24955', '24960', '24963', '24966', '24969', '24972', '24975', '24977', '24980', '24983', '24986', '24988', '24989', '24991', '24992', '24994', '24996', '24997', '24999', '25868', '25879']
207;Robert Habeck;Grüne;Robert;Habeck;robert.habeck@bundestag.de;Flensburg – Schleswig;['24376', '24392', '24395', '24399', '24401', '24402', '24404', '24405', '24407', '24409', '24799', '24803', '24817', '24837', '24848', '24850', '24852', '24855', '24857', '24860', '24861', '24863', '24864', '24866', '24867', '24869', '24870', '24872', '24873', '24875', '24876', '24878', '24879', '24881', '24882', '24884', '24885', '24887', '24888', '24890', '24891', '24893', '24894', '24896', '24897', '24899', '24937', '24939', '24941', '24943', '24944', '24955', '24960', '24963', '24966', '24969', '24972', '24975', '24977', '24980', '24983', '24986', '24988', '24989', '24991', '24992', '24994', '24996', '24997', '24999', '25868', '25879']
208;Stefan Seidler;"fraktionslos
(SSW)";Stefan;Seidler;stefan.seidler@bundestag.de;Flensburg – Schleswig;['24376', '24392', '24395', '24399', '24401', '24402', '24404', '24405', '24407', '24409', '24799', '24803', '24817', '24837', '24848', '24850', '24852', '24855', '24857', '24860', '24861', '24863', '24864', '24866', '24867', '24869', '24870', '24872', '24873', '24875', '24876', '24878', '24879', '24881', '24882', '24884', '24885', '24887', '24888', '24890', '24891', '24893', '24894', '24896', '24897', '24899', '24937', '24939', '24941', '24943', '24944', '24955', '24960', '24963', '24966', '24969', '24972', '24975', '24977', '24980', '24983', '24986', '24988', '24989', '24991', '24992', '24994', '24996', '24997', '24999', '25868', '25879']
209;Mathias Papendieck;SPD;Mathias;Papendieck;mathias.papendieck@bundestag.de;Frankfurt (Oder) – Oder-Spree;['15230', '15232', '15234', '15236', '15295', '15299', '15517', '15518', '15526', '15528', '15537', '15566', '15569', '15848', '15859', '15864', '15890', '15898']
210;Janine Wissler;Linke;Janine;Wissler;janine.wissler@bundestag.de;Frankfurt am Main I;['60308', '60311', '60313', '60318', '60320', '60320', '60320', '60320', '60322', '60322', '60322', '60322', '60323', '60325', '60326', '60327', '60329', '60431', '60433', '60433', '60433', '60433', '60435', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60486', '60487', '60488', '60489', '65929', '65931', '65933', '65934', '65936']
211;Deborah Düring;Grüne;Deborah;Düring;deborah.düring@bundestag.de;Frankfurt am Main I;['60308', '60311', '60313', '60318', '60320', '60320', '60320', '60320', '60322', '60322', '60322', '60322', '60323', '60325', '60326', '60327', '60329', '60431', '60433', '60433', '60433', '60433', '60435', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60486', '60487', '60488', '60489', '65929', '65931', '65933', '65934', '65936']
212;Joana Cotar;AfD;Joana;Cotar;joana.cotar@bundestag.de;Frankfurt am Main II;['60314', '60316', '60318', '60318', '60320', '60320', '60322', '60385', '60386', '60388', '60389', '60433', '60435', '60435', '60435', '60435', '60435', '60437', '60438', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60528', '60529', '60549', '60594', '60596', '60598', '60599']
213;Thorsten Lieb;FDP;Thorsten;Lieb;thorsten.lieb@bundestag.de;Frankfurt am Main II;['60314', '60316', '60318', '60318', '60320', '60320', '60322', '60385', '60386', '60388', '60389', '60433', '60435', '60435', '60435', '60435', '60435', '60437', '60438', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60528', '60529', '60549', '60594', '60596', '60598', '60599']
214;Kaweh Mansoori;SPD;Kaweh;Mansoori;kaweh.mansoori@bundestag.de;Frankfurt am Main II;['60314', '60316', '60318', '60318', '60320', '60320', '60322', '60385', '60386', '60388', '60389', '60433', '60435', '60435', '60435', '60435', '60435', '60437', '60438', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60528', '60529', '60549', '60594', '60596', '60598', '60599']
215;Omid Nouripour;Grüne;Omid;Nouripour;omid.nouripour@bundestag.de;Frankfurt am Main II;['60314', '60316', '60318', '60318', '60320', '60320', '60322', '60385', '60386', '60388', '60389', '60433', '60435', '60435', '60435', '60435', '60435', '60437', '60438', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60528', '60529', '60549', '60594', '60596', '60598', '60599']
216;Armand Zorn;SPD;Armand;Zorn;armand.zorn@bundestag.de;Frankfurt am Main I;['60308', '60311', '60313', '60318', '60320', '60320', '60320', '60320', '60322', '60322', '60322', '60322', '60323', '60325', '60326', '60327', '60329', '60431', '60433', '60433', '60433', '60433', '60435', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60439', '60486', '60487', '60488', '60489', '65929', '65931', '65933', '65934', '65936']
217;Chantal Kopf;Grüne;Chantal;Kopf;chantal.kopf@bundestag.de;Freiburg;['79098', '79100', '79102', '79104', '79106', '79108', '79110', '79111', '79112', '79114', '79115', '79117', '79206', '79224', '79227', '79232', '79235', '79238', '79241', '79249', '79268', '79280', '79283', '79285', '79288', '79289', '79291', '79292', '79294', '79299', '79356']
218;Claudia Raffelhüschen;FDP;Claudia;Raffelhüschen;claudia.raffelhüschen@bundestag.de;Freiburg;['79098', '79100', '79102', '79104', '79106', '79108', '79110', '79111', '79112', '79114', '79115', '79117', '79206', '79224', '79227', '79232', '79235', '79238', '79241', '79249', '79268', '79280', '79283', '79285', '79288', '79289', '79291', '79292', '79294', '79299', '79356']
219;Johannes Huber;fraktionslos (ehemals AfD);Johannes;Huber;johannes.huber@bundestag.de;Freising;['84072', '84104', '85077', '85084', '85088', '85107', '85119', '85126', '85238', '85276', '85283', '85290', '85293', '85296', '85298', '85301', '85302', '85304', '85305', '85307', '85309', '85354', '85356', '85368', '85375', '85376', '85386', '85391', '85395', '85399', '85402', '85405', '85406', '85408', '85410', '85411', '85413', '85414', '85416', '85417', '85419', '85777', '86558', '86561']
220;Erich Irlstorfer;CDU/CSU (CSU);Erich;Irlstorfer;erich.irlstorfer@bundestag.de;Freising;['84072', '84104', '85077', '85084', '85088', '85107', '85119', '85126', '85238', '85276', '85283', '85290', '85293', '85296', '85298', '85301', '85302', '85304', '85305', '85307', '85309', '85354', '85356', '85368', '85375', '85376', '85386', '85391', '85395', '85399', '85402', '85405', '85406', '85408', '85410', '85411', '85413', '85414', '85416', '85417', '85419', '85777', '86558', '86561']
221;Leon Eckert;Grüne;Leon;Eckert;leon.eckert@bundestag.de;Freising;['84072', '84104', '85077', '85084', '85088', '85107', '85119', '85126', '85238', '85276', '85283', '85290', '85293', '85296', '85298', '85301', '85302', '85304', '85305', '85307', '85309', '85354', '85356', '85368', '85375', '85376', '85386', '85391', '85395', '85399', '85402', '85405', '85406', '85408', '85410', '85411', '85413', '85414', '85416', '85417', '85419', '85777', '86558', '86561']
